Epoch,IOU_Train,IOU_Val
25,0.6364,0.3287
26,0.6360,0.5188
27,0.6364,0.4369
28,0.6385,0.5612
29,0.6393,0.3075
30,0.6384,0.5624
31,0.6422,0.4664
32,0.6412,0.4307
33,0.6437,0.5028
34,0.6438,0.5582
35,0.6452,0.5430
36,0.6461,0.4711
37,0.6466,0.4739
38,0.6461,0.5223
39,0.6483,0.3885
40,0.6486,0.5306
41,0.6504,0.4351
42,0.6483,0.5378
43,0.6518,0.4395
44,0.6524,0.5269
45,0.6534,0.4997
46,0.6534,0.5481
47,0.6538,0.5342
48,0.6537,0.4534
49,0.6544,0.4884
50,0.6566,0.4283
51,0.6567,0.5061
52,0.6579,0.4998
53,0.6586,0.4678
54,0.6588,0.5014
55,0.6596,0.5007
56,0.6579,0.4616
57,0.6592,0.5163
58,0.6592,0.4784
59,0.6616,0.4907
60,0.6615,0.5375
61,0.6617,0.4611
62,0.6610,0.5094
63,0.6614,0.5314
64,0.6661,0.4796
65,0.6642,0.4505
66,0.6640,0.4686
67,0.6649,0.4807
68,0.6660,0.5257
69,0.6669,0.4606
70,0.6664,0.4786
71,0.6672,0.3700
72,0.6674,0.3910
73,0.6673,0.4445
74,0.6691,0.4898
75,0.6688,0.5554
76,0.6694,0.5340
77,0.6688,0.5099
78,0.6683,0.5018
79,0.6716,0.4471
80,0.6704,0.4670
81,0.6692,0.5311
82,0.6712,0.5246
83,0.6701,0.4598
84,0.6703,0.4884
85,0.6723,0.5477
86,0.6723,0.5215
87,0.6728,0.4537
88,0.6741,0.5340
89,0.6745,0.4667
90,0.6727,0.5391
91,0.6744,0.5012
92,0.6733,0.4854
93,0.6747,0.4810
94,0.6746,0.4995
95,0.6750,0.3813
96,0.6750,0.5088
97,0.6767,0.4480
98,0.6764,0.5110
99,0.6762,0.4290
100,0.6765,0.3844
101,0.6758,0.4738
102,0.6792,0.4866
103,0.6752,0.5040
104,0.6766,0.5134
105,0.6797,0.4177
106,0.6780,0.4848
107,0.6786,0.5010
108,0.6779,0.5119
109,0.6782,0.4787
110,0.6789,0.5247
111,0.6800,0.4106
112,0.6817,0.3989
113,0.6780,0.4339
114,0.6801,0.4133
115,0.6805,0.4957
116,0.6810,0.4019
117,0.6800,0.5360
118,0.6799,0.4630
119,0.6811,0.5513
120,0.6811,0.5087
121,0.6808,0.4751
122,0.6813,0.5188
123,0.6823,0.3694
124,0.6831,0.5037
125,0.6827,0.5397
126,0.6831,0.5236
127,0.6822,0.5619
128,0.6834,0.4728
129,0.6827,0.4059
130,0.6835,0.4718
131,0.6843,0.4698
132,0.6851,0.3263
133,0.6852,0.4657
134,0.6834,0.4868
135,0.6850,0.4833
136,0.6849,0.4744
137,0.6843,0.5490
138,0.6859,0.5145
139,0.6861,0.5070
140,0.6850,0.5411
141,0.6848,0.5097
142,0.6850,0.4728
143,0.6866,0.3870
144,0.6861,0.5497
145,0.6880,0.4664
