Epoch,Loss,IOU_Train,IOU_Val,Time
480,0.132753,0.7106,0.4953,49.54
481,0.132801,0.7109,0.3172,50.16
482,0.132570,0.7109,0.5273,49.17
483,0.132004,0.7116,0.5461,49.45
484,0.134002,0.7092,0.4861,49.83
485,0.132711,0.7105,0.4754,47.25
486,0.132698,0.7105,0.4960,47.98
487,0.132763,0.7103,0.4533,47.76
488,0.132694,0.7100,0.4825,47.81
489,0.131356,0.7118,0.4215,47.05
490,0.131197,0.7123,0.4937,47.34
491,0.133176,0.7099,0.3113,47.46
492,0.131117,0.7125,0.4873,49.07
493,0.131273,0.7117,0.4524,51.67
494,0.132154,0.7113,0.4764,51.11
495,0.132805,0.7105,0.4782,48.61
496,0.131275,0.7120,0.3164,45.80
497,0.132269,0.7108,0.3520,44.23
498,0.132148,0.7107,0.5395,44.77
499,0.133517,0.7097,0.4318,44.21
