epoch 1 loss: 0.598070353269577, elapse time: 7.468174934387207
epoch 2 loss: 0.39457325637340546, elapse time: 5.8891332149505615
epoch 3 loss: 0.34480862468481066, elapse time: 5.739787817001343
epoch 4 loss: 0.32100456207990646, elapse time: 5.745769262313843
epoch 5 loss: 0.3091427817940712, elapse time: 5.750789165496826
epoch 6 loss: 0.3027953371405602, elapse time: 5.748948574066162
epoch 7 loss: 0.2983187273144722, elapse time: 5.758792877197266
epoch 8 loss: 0.29182385206222533, elapse time: 5.759055137634277
epoch 9 loss: 0.2882001385092735, elapse time: 5.7493321895599365
epoch 10 loss: 0.2856934890151024, elapse time: 5.7489964962005615
epoch 11 loss: 0.2782415375113487, elapse time: 5.754860162734985
epoch 12 loss: 0.2774695947766304, elapse time: 5.74225926399231
epoch 13 loss: 0.2734760597348213, elapse time: 5.749577283859253
epoch 14 loss: 0.27265590876340867, elapse time: 5.770145654678345
epoch 15 loss: 0.2692904084920883, elapse time: 5.7588677406311035
epoch 16 loss: 0.2675685420632362, elapse time: 5.757502794265747
epoch 17 loss: 0.265001106262207, elapse time: 5.758829593658447
epoch 18 loss: 0.26797216907143595, elapse time: 5.759075403213501
epoch 19 loss: 0.26296403631567955, elapse time: 5.744473218917847
epoch 20 loss: 0.2618175521492958, elapse time: 5.75855565071106
epoch 21 loss: 0.2609970562160015, elapse time: 5.750197649002075
epoch 22 loss: 0.25949682071805, elapse time: 5.763495683670044
epoch 23 loss: 0.2578709699213505, elapse time: 5.769729137420654
epoch 24 loss: 0.2530768200755119, elapse time: 5.759439468383789
epoch 25 loss: 0.25854809060692785, elapse time: 5.758845806121826
epoch 26 loss: 0.25722450762987137, elapse time: 5.773052453994751
epoch 27 loss: 0.2545333817601204, elapse time: 5.753360986709595
epoch 28 loss: 0.25143934339284896, elapse time: 5.770482063293457
epoch 29 loss: 0.24933492839336396, elapse time: 5.7403483390808105
epoch 30 loss: 0.248416768014431, elapse time: 5.753087997436523
epoch 31 loss: 0.24719334319233893, elapse time: 5.762158155441284
epoch 32 loss: 0.24991618990898132, elapse time: 5.745474338531494
epoch 33 loss: 0.24960508570075035, elapse time: 5.751792669296265
epoch 34 loss: 0.24763455390930175, elapse time: 5.752883195877075
epoch 35 loss: 0.24623583555221557, elapse time: 5.768610954284668
epoch 36 loss: 0.2421312265098095, elapse time: 5.764666795730591
epoch 37 loss: 0.24274625033140182, elapse time: 5.758842706680298
epoch 38 loss: 0.24157415851950645, elapse time: 5.764172077178955
epoch 39 loss: 0.2399248920381069, elapse time: 5.755592584609985
epoch 40 loss: 0.24199712201952933, elapse time: 5.755117416381836
epoch 41 loss: 0.23793104588985442, elapse time: 5.740652799606323
epoch 42 loss: 0.23938824236392975, elapse time: 5.7631800174713135
