imagen,modelo,pixeles_incendio,total_pixeles,porcentaje_incendio
10_24_Ciudad Madero_Tamaulipas_bloque_12_x0_y192.tiff,model_best.pth,2814,16384,17.1753
10_24_Ciudad Madero_Tamaulipas_bloque_13_x64_y192.tiff,model_best.pth,2974,16384,18.1519
10_24_Ciudad Madero_Tamaulipas_bloque_18_x128_y256.tiff,model_best.pth,997,16384,6.0852
10_24_Ciudad Madero_Tamaulipas_bloque_21_x64_y286.tiff,model_best.pth,2137,16384,13.0432
10_24_Ciudad Madero_Tamaulipas_bloque_3_x169_y0.tiff,model_best.pth,553,16384,3.3752
10_24_Ciudad Madero_Tamaulipas_bloque_7_x169_y64.tiff,model_best.pth,916,16384,5.5908
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_101_x768_y768.tiff,model_best.pth,1504,16384,9.1797
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_104_x960_y768.tiff,model_best.pth,689,16384,4.2053
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_119_x960_y934.tiff,model_best.pth,1421,16384,8.6731
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_12_x320_y64.tiff,model_best.pth,5727,16384,34.9548
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_17_x128_y128.tiff,model_best.pth,4177,16384,25.4944
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_21_x384_y128.tiff,model_best.pth,7171,16384,43.7683
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_27_x384_y192.tiff,model_best.pth,7022,16384,42.8589
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_29_x512_y192.tiff,model_best.pth,4313,16384,26.3245
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_38_x704_y256.tiff,model_best.pth,4023,16384,24.5544
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_40_x384_y320.tiff,model_best.pth,4892,16384,29.8584
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_44_x640_y320.tiff,model_best.pth,4575,16384,27.9236
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_54_x896_y384.tiff,model_best.pth,3824,16384,23.3398
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_5_x320_y0.tiff,model_best.pth,3582,16384,21.8628
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_62_x896_y448.tiff,model_best.pth,5402,16384,32.9712
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_70_x832_y512.tiff,model_best.pth,9319,16384,56.8787
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_73_x448_y576.tiff,model_best.pth,936,16384,5.7129
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_78_x768_y576.tiff,model_best.pth,5055,16384,30.8533
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_82_x512_y640.tiff,model_best.pth,2883,16384,17.5964
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_97_x448_y768.tiff,model_best.pth,2560,16384,15.625
10_24_Lago de Zumpango_Ciudad de México_bloque_8_x96_y128.tiff,model_best.pth,5830,16384,35.5835
10_24_Lago de Zumpango_Ciudad de México_bloque_9_x0_y192.tiff,model_best.pth,4669,16384,28.4973
10_24_San Andrés Coyotitlán_Veracruz_bloque_0_x0_y0.tiff,model_best.pth,7373,16384,45.0012
10_24_San Andrés Coyotitlán_Veracruz_bloque_4_x64_y64.tiff,model_best.pth,9085,16384,55.4504
10_24_San Andrés Coyotitlán_Veracruz_bloque_7_x64_y128.tiff,model_best.pth,9101,16384,55.5481
10_24_Santiago Matatlán_Oaxaca_bloque_0_x0_y0.tiff,model_best.pth,72,16384,0.4395
10_24_Santiago Matatlán_Oaxaca_bloque_7_x64_y120.tiff,model_best.pth,122,16384,0.7446
11_24_El Tabaje_Oaxaca_bloque_9_x64_y89.tiff,model_best.pth,2323,16384,14.1785
11_24_San Antonio_Veracruz_bloque_4_x64_y64.tiff,model_best.pth,8841,16384,53.9612
11_24_San Antonio_Veracruz_bloque_7_x64_y128.tiff,model_best.pth,7830,16384,47.7905
11_24_San Antonio_Veracruz_bloque_8_x97_y128.tiff,model_best.pth,5998,16384,36.6089
11_Zapopan_Jalisco_bloque_3_x704_y768.tiff,model_best.pth,401,16384,2.4475
11_Zapopan_Jalisco_bloque_4_x704_y832.tiff,model_best.pth,227,16384,1.3855
12_24_Cuauhtémoc_Tamaulipas_bloque_0_x0_y0.tiff,model_best.pth,311,16384,1.8982
12_24_Cuauhtémoc_Tamaulipas_bloque_12_x205_y128.tiff,model_best.pth,2,16384,0.0122
12_24_Cuauhtémoc_Tamaulipas_bloque_14_x64_y192.tiff,model_best.pth,329,16384,2.0081
12_24_Cuauhtémoc_Tamaulipas_bloque_18_x0_y256.tiff,model_best.pth,401,16384,2.4475
12_24_Cuauhtémoc_Tamaulipas_bloque_26_x192_y320.tiff,model_best.pth,3324,16384,20.2881
12_24_Cuauhtémoc_Tamaulipas_bloque_27_x205_y320.tiff,model_best.pth,2874,16384,17.5415
12_24_Cuauhtémoc_Tamaulipas_bloque_28_x0_y365.tiff,model_best.pth,44,16384,0.2686
12_24_Cuauhtémoc_Tamaulipas_bloque_4_x64_y64.tiff,model_best.pth,309,16384,1.886
12_Balleza_Chihuahua_bloque_13_x320_y64.tiff,model_best.pth,1693,16384,10.3333
12_Balleza_Chihuahua_bloque_16_x512_y64.tiff,model_best.pth,1629,16384,9.9426
12_Balleza_Chihuahua_bloque_19_x64_y128.tiff,model_best.pth,757,16384,4.6204
12_Balleza_Chihuahua_bloque_20_x128_y128.tiff,model_best.pth,987,16384,6.0242
12_Balleza_Chihuahua_bloque_25_x448_y128.tiff,model_best.pth,1243,16384,7.5867
12_Balleza_Chihuahua_bloque_4_x320_y0.tiff,model_best.pth,1435,16384,8.7585
12_Balleza_Chihuahua_bloque_50_x256_y384.tiff,model_best.pth,2041,16384,12.4573
12_Balleza_Chihuahua_bloque_55_x384_y388.tiff,model_best.pth,664,16384,4.0527
12_Balleza_Chihuahua_bloque_7_x512_y0.tiff,model_best.pth,1643,16384,10.0281
13_24_Popocatépetl_México_bloque_14_x128_y177.tiff,model_best.pth,494,16384,3.0151
13_24_Popocatépetl_México_bloque_3_x157_y0.tiff,model_best.pth,465,16384,2.8381
13_24_San Isidro_Veracruz_bloque_10_x64_y161.tiff,model_best.pth,5213,16384,31.8176
13_24_San Isidro_Veracruz_bloque_11_x68_y161.tiff,model_best.pth,4974,16384,30.3589
13_24_San Isidro_Veracruz_bloque_3_x0_y64.tiff,model_best.pth,7780,16384,47.4854
14_24_La Concordia_Chiapas_bloque_0_x0_y0.tiff,model_best.pth,3892,16384,23.7549
14_24_La Concordia_Chiapas_bloque_4_x0_y64.tiff,model_best.pth,3747,16384,22.8699
14_24_Llano Grande_Chiapas_bloque_16_x64_y179.tiff,model_best.pth,1125,16384,6.8665
14_24_Llano Grande_Chiapas_bloque_18_x192_y179.tiff,model_best.pth,2474,16384,15.1001
14_24_Llano Grande_Chiapas_bloque_3_x192_y0.tiff,model_best.pth,488,16384,2.9785
14_24_Llano Grande_Chiapas_bloque_5_x0_y64.tiff,model_best.pth,827,16384,5.0476
14_24_Villa Hidalgo_Chiapas_bloque_13_x64_y128.tiff,model_best.pth,5381,16384,32.843
14_24_Villa Hidalgo_Chiapas_bloque_16_x256_y128.tiff,model_best.pth,3053,16384,18.634
14_24_Villa Hidalgo_Chiapas_bloque_17_x317_y128.tiff,model_best.pth,751,16384,4.5837
14_24_Villa Hidalgo_Chiapas_bloque_19_x64_y192.tiff,model_best.pth,4006,16384,24.4507
14_24_Villa Hidalgo_Chiapas_bloque_25_x128_y239.tiff,model_best.pth,2280,16384,13.916
14_Ejido de Vergel_Durango_bloque_15_x0_y128.tiff,model_best.pth,685,16384,4.1809
14_Ejido de Vergel_Durango_bloque_23_x499_y128.tiff,model_best.pth,2907,16384,17.7429
14_Ejido de Vergel_Durango_bloque_24_x0_y192.tiff,model_best.pth,711,16384,4.3396
14_Ejido de Vergel_Durango_bloque_27_x192_y192.tiff,model_best.pth,1412,16384,8.6182
14_Ejido de Vergel_Durango_bloque_29_x320_y192.tiff,model_best.pth,3011,16384,18.3777
14_Ejido de Vergel_Durango_bloque_32_x499_y192.tiff,model_best.pth,1116,16384,6.8115
14_Ejido de Vergel_Durango_bloque_34_x192_y256.tiff,model_best.pth,398,16384,2.4292
14_Ejido de Vergel_Durango_bloque_38_x448_y256.tiff,model_best.pth,79,16384,0.4822
14_Ejido de Vergel_Durango_bloque_4_x320_y0.tiff,model_best.pth,610,16384,3.7231
14_Ejido de Vergel_Durango_bloque_53_x192_y407.tiff,model_best.pth,2083,16384,12.7136
14_Ejido de Vergel_Durango_bloque_54_x256_y407.tiff,model_best.pth,3138,16384,19.1528
14_Ejido de Vergel_Durango_bloque_56_x384_y407.tiff,model_best.pth,479,16384,2.9236
14_El Carmen_Querétaro_bloque_4_x0_y64.tiff,model_best.pth,4825,16384,29.4495
14_El Carmen_Querétaro_bloque_5_x64_y64.tiff,model_best.pth,3576,16384,21.8262
14_El Ciruelo_Oaxaca_bloque_10_x128_y105.tiff,model_best.pth,639,16384,3.9001
14_El Ciruelo_Oaxaca_bloque_3_x138_y0.tiff,model_best.pth,1768,16384,10.791
14_El Ciruelo_Oaxaca_bloque_9_x64_y105.tiff,model_best.pth,2934,16384,17.9077
14_La Cañada_Querétaro_bloque_2_x128_y0.tiff,model_best.pth,2474,16384,15.1001
14_La Cañada_Querétaro_bloque_3_x174_y0.tiff,model_best.pth,1995,16384,12.1765
14_La Cañada_Querétaro_bloque_5_x64_y64.tiff,model_best.pth,3829,16384,23.3704
14_La Palma_Querétaro_bloque_10_x0_y128.tiff,model_best.pth,8790,16384,53.6499
14_La Palma_Querétaro_bloque_15_x0_y160.tiff,model_best.pth,7814,16384,47.6929
14_La Palma_Querétaro_bloque_18_x192_y160.tiff,model_best.pth,3265,16384,19.928
14_La Palma_Querétaro_bloque_2_x128_y0.tiff,model_best.pth,5006,16384,30.5542
14_San Juanito_Durango_bloque_12_x576_y64.tiff,model_best.pth,53,16384,0.3235
14_San Juanito_Durango_bloque_21_x448_y128.tiff,model_best.pth,3094,16384,18.8843
14_San Juanito_Durango_bloque_25_x0_y192.tiff,model_best.pth,1734,16384,10.5835
14_San Juanito_Durango_bloque_27_x128_y192.tiff,model_best.pth,2816,16384,17.1875
14_San Juanito_Durango_bloque_35_x583_y192.tiff,model_best.pth,2529,16384,15.4358
14_San Juanito_Durango_bloque_41_x320_y256.tiff,model_best.pth,97,16384,0.592
14_San Juanito_Durango_bloque_50_x192_y320.tiff,model_best.pth,900,16384,5.4932
14_San Juanito_Durango_bloque_54_x448_y320.tiff,model_best.pth,289,16384,1.7639
14_San Juanito_Durango_bloque_58_x0_y384.tiff,model_best.pth,208,16384,1.2695
14_San Juanito_Durango_bloque_59_x64_y384.tiff,model_best.pth,252,16384,1.5381
14_San Juanito_Durango_bloque_5_x128_y64.tiff,model_best.pth,1961,16384,11.969
14_San Juanito_Durango_bloque_60_x128_y384.tiff,model_best.pth,89,16384,0.5432
14_San Juanito_Durango_bloque_61_x192_y384.tiff,model_best.pth,630,16384,3.8452
14_San Juanito_Durango_bloque_63_x320_y384.tiff,model_best.pth,750,16384,4.5776
14_San Juanito_Durango_bloque_65_x448_y384.tiff,model_best.pth,137,16384,0.8362
14_San Juanito_Durango_bloque_66_x512_y384.tiff,model_best.pth,144,16384,0.8789
