imagen,modelo,pixeles_incendio,total_pixeles,porcentaje_incendio
10_24_Ciudad Madero_Tamaulipas_bloque_12_x0_y192.tiff,model_final.pth,6966,16384,42.5171
10_24_Ciudad Madero_Tamaulipas_bloque_13_x64_y192.tiff,model_final.pth,8548,16384,52.1729
10_24_Ciudad Madero_Tamaulipas_bloque_18_x128_y256.tiff,model_final.pth,5765,16384,35.1868
10_24_Ciudad Madero_Tamaulipas_bloque_21_x64_y286.tiff,model_final.pth,9123,16384,55.6824
10_24_Ciudad Madero_Tamaulipas_bloque_3_x169_y0.tiff,model_final.pth,389,16384,2.3743
10_24_Ciudad Madero_Tamaulipas_bloque_7_x169_y64.tiff,model_final.pth,852,16384,5.2002
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_101_x768_y768.tiff,model_final.pth,1478,16384,9.021
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_104_x960_y768.tiff,model_final.pth,355,16384,2.1667
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_119_x960_y934.tiff,model_final.pth,774,16384,4.7241
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_12_x320_y64.tiff,model_final.pth,4501,16384,27.4719
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_17_x128_y128.tiff,model_final.pth,3305,16384,20.1721
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_21_x384_y128.tiff,model_final.pth,7321,16384,44.6838
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_27_x384_y192.tiff,model_final.pth,6572,16384,40.1123
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_29_x512_y192.tiff,model_final.pth,3065,16384,18.7073
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_38_x704_y256.tiff,model_final.pth,3964,16384,24.1943
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_40_x384_y320.tiff,model_final.pth,4866,16384,29.6997
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_44_x640_y320.tiff,model_final.pth,3924,16384,23.9502
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_54_x896_y384.tiff,model_final.pth,4777,16384,29.1565
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_5_x320_y0.tiff,model_final.pth,2663,16384,16.2537
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_62_x896_y448.tiff,model_final.pth,6210,16384,37.9028
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_70_x832_y512.tiff,model_final.pth,9110,16384,55.603
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_73_x448_y576.tiff,model_final.pth,1737,16384,10.6018
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_78_x768_y576.tiff,model_final.pth,3642,16384,22.229
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_82_x512_y640.tiff,model_final.pth,4007,16384,24.4568
10_24_Cuitzeo del Porvenir_Guanajuato_bloque_97_x448_y768.tiff,model_final.pth,4401,16384,26.8616
10_24_Lago de Zumpango_Ciudad de México_bloque_8_x96_y128.tiff,model_final.pth,6544,16384,39.9414
10_24_Lago de Zumpango_Ciudad de México_bloque_9_x0_y192.tiff,model_final.pth,2919,16384,17.8162
10_24_San Andrés Coyotitlán_Veracruz_bloque_0_x0_y0.tiff,model_final.pth,6755,16384,41.2292
10_24_San Andrés Coyotitlán_Veracruz_bloque_4_x64_y64.tiff,model_final.pth,8315,16384,50.7507
10_24_San Andrés Coyotitlán_Veracruz_bloque_7_x64_y128.tiff,model_final.pth,8750,16384,53.4058
10_24_Santiago Matatlán_Oaxaca_bloque_0_x0_y0.tiff,model_final.pth,733,16384,4.4739
10_24_Santiago Matatlán_Oaxaca_bloque_7_x64_y120.tiff,model_final.pth,1316,16384,8.0322
11_24_El Tabaje_Oaxaca_bloque_9_x64_y89.tiff,model_final.pth,1796,16384,10.9619
11_24_San Antonio_Veracruz_bloque_4_x64_y64.tiff,model_final.pth,8571,16384,52.3132
11_24_San Antonio_Veracruz_bloque_7_x64_y128.tiff,model_final.pth,7978,16384,48.6938
11_24_San Antonio_Veracruz_bloque_8_x97_y128.tiff,model_final.pth,5968,16384,36.4258
11_Zapopan_Jalisco_bloque_3_x704_y768.tiff,model_final.pth,501,16384,3.0579
11_Zapopan_Jalisco_bloque_4_x704_y832.tiff,model_final.pth,472,16384,2.8809
12_24_Cuauhtémoc_Tamaulipas_bloque_0_x0_y0.tiff,model_final.pth,2267,16384,13.8367
12_24_Cuauhtémoc_Tamaulipas_bloque_12_x205_y128.tiff,model_final.pth,8,16384,0.0488
12_24_Cuauhtémoc_Tamaulipas_bloque_14_x64_y192.tiff,model_final.pth,6769,16384,41.3147
12_24_Cuauhtémoc_Tamaulipas_bloque_18_x0_y256.tiff,model_final.pth,3134,16384,19.1284
12_24_Cuauhtémoc_Tamaulipas_bloque_26_x192_y320.tiff,model_final.pth,3496,16384,21.3379
12_24_Cuauhtémoc_Tamaulipas_bloque_27_x205_y320.tiff,model_final.pth,2444,16384,14.917
