Epoch,IOU_Train,IOU_Val
0,0.5349,0.5424
1,0.5628,0.5175
2,0.5762,0.4636
3,0.5865,0.5098
4,0.5918,0.4341
5,0.5972,0.4956
6,0.6028,0.5042
7,0.6076,0.4578
8,0.6103,0.5423
9,0.6154,0.4421
10,0.6190,0.3438
11,0.6210,0.5110
12,0.6247,0.4577
13,0.6288,0.5215
14,0.6307,0.3683
15,0.6351,0.4516
16,0.6373,0.5399
17,0.6390,0.4854
18,0.6427,0.5447
19,0.6451,0.5479
20,0.6474,0.5270
21,0.6496,0.4614
22,0.6523,0.5279
23,0.6547,0.4705
24,0.6571,0.5207
25,0.6605,0.5459
26,0.6610,0.5150
27,0.6638,0.5264
28,0.6657,0.5245
29,0.6676,0.4587
30,0.6705,0.5528
31,0.6727,0.4946
32,0.6736,0.5336
33,0.6750,0.5192
34,0.6768,0.3729
35,0.6790,0.2442
36,0.6806,0.5315
37,0.6811,0.5415
38,0.6830,0.4333
39,0.6849,0.5200
40,0.6858,0.4904
41,0.6878,0.4841
42,0.6889,0.4259
43,0.6911,0.4074
44,0.6913,0.5200
45,0.6931,0.5118
46,0.6940,0.4651
47,0.6959,0.3030
48,0.6970,0.5360
49,0.6980,0.5292
50,0.6998,0.5516
51,0.7012,0.5088
52,0.7019,0.3547
53,0.7033,0.4877
54,0.7044,0.4333
55,0.7069,0.5252
56,0.7068,0.4940
57,0.7077,0.4076
58,0.7083,0.5271
59,0.7094,0.2891
60,0.7109,0.5394
61,0.7115,0.3824
62,0.7128,0.3775
63,0.7132,0.3579
64,0.7147,0.4794
65,0.7144,0.4980
66,0.7162,0.4384
67,0.7169,0.3088
68,0.7180,0.5283
69,0.7186,0.3126
70,0.7189,0.4281
71,0.7198,0.3296
72,0.7219,0.4622
73,0.7224,0.4994
74,0.7231,0.5199
75,0.7227,0.3993
76,0.7243,0.3492
77,0.7250,0.2248
78,0.7265,0.2599
79,0.7258,0.4094
80,0.7275,0.3259
81,0.7294,0.4225
82,0.7287,0.3884
83,0.7287,0.3938
84,0.7305,0.2707
85,0.7314,0.4916
86,0.7319,0.3667
87,0.7327,0.3394
88,0.7333,0.4586
89,0.7343,0.3207
90,0.7342,0.4853
91,0.7349,0.4446
92,0.7361,0.3050
93,0.7360,0.4578
94,0.7376,0.3941
95,0.7383,0.4533
96,0.7389,0.4320
97,0.7395,0.4999
98,0.7396,0.4430
99,0.7401,0.3150
100,0.7425,0.3667
101,0.7423,0.4382
102,0.7418,0.5001
103,0.7430,0.3701
104,0.7441,0.4520
105,0.7449,0.4654
106,0.7458,0.4864
107,0.7464,0.4060
108,0.7472,0.4931
109,0.7471,0.4574
110,0.7482,0.4175
111,0.7481,0.5098
112,0.7497,0.5073
113,0.7498,0.4710
114,0.7507,0.4114
115,0.7509,0.3859
116,0.7517,0.2896
117,0.7528,0.3766
118,0.7531,0.2627
119,0.7538,0.4878
120,0.7541,0.4178
121,0.7547,0.3275
122,0.7554,0.4318
123,0.7561,0.3214
124,0.7569,0.3461
125,0.7562,0.5288
126,0.7577,0.3302
127,0.7592,0.4297
128,0.7588,0.3941
129,0.7597,0.5094
130,0.7602,0.2965
131,0.7617,0.4625
132,0.7616,0.5113
133,0.7616,0.4357
134,0.7632,0.3153
135,0.7625,0.2791
136,0.7637,0.4354
137,0.7641,0.4714
138,0.7653,0.4999
139,0.7645,0.4401
140,0.7665,0.3898
141,0.7670,0.4379
142,0.7669,0.5021
143,0.7676,0.4525
144,0.7684,0.5051
145,0.7683,0.2922
146,0.7696,0.4446
147,0.7697,0.3665
148,0.7709,0.3915
149,0.7715,0.5166
150,0.7718,0.4652
151,0.7727,0.3834
152,0.7726,0.4520
153,0.7730,0.4980
154,0.7732,0.3913
155,0.7747,0.4573
156,0.7751,0.4368
157,0.7754,0.4868
158,0.7763,0.3862
159,0.7764,0.2523
160,0.7769,0.3780
161,0.7773,0.2734
162,0.7785,0.4607
163,0.7785,0.3641
164,0.7796,0.3289
165,0.7795,0.3121
166,0.7803,0.4045
167,0.7805,0.2762
168,0.7814,0.4157
169,0.7817,0.4526
170,0.7830,0.4433
171,0.7829,0.4401
172,0.7838,0.5167
173,0.7836,0.3423
174,0.7845,0.4857
175,0.7850,0.5210
176,0.7851,0.4839
177,0.7858,0.3714
178,0.7863,0.5031
179,0.7870,0.5236
180,0.7876,0.4040
181,0.7878,0.5075
182,0.7884,0.4669
183,0.7893,0.5241
184,0.7897,0.3212
185,0.7907,0.5041
186,0.7902,0.3276
187,0.7919,0.4207
188,0.7915,0.3920
189,0.7926,0.4614
190,0.7929,0.2856
191,0.7937,0.4099
192,0.7936,0.3854
193,0.7938,0.3531
194,0.7948,0.4999
195,0.7960,0.3630
196,0.7965,0.5008
197,0.7966,0.5142
198,0.7973,0.3528
199,0.7984,0.3983
200,0.7980,0.2290
201,0.7984,0.4281
202,0.7995,0.4868
203,0.7999,0.3752
204,0.8002,0.4112
205,0.8010,0.3046
206,0.8018,0.4325
207,0.8018,0.4242
208,0.8024,0.3662
209,0.8033,0.4065
210,0.8038,0.4742
211,0.8042,0.4974
212,0.8043,0.4803
213,0.8049,0.2946
214,0.8056,0.5126
215,0.8060,0.2424
216,0.8072,0.3590
217,0.8072,0.2880
218,0.8073,0.4529
219,0.8084,0.4179
220,0.8087,0.3970
221,0.8092,0.3855
222,0.8097,0.3878
223,0.8104,0.4216
224,0.8108,0.5154
225,0.8115,0.4024
226,0.8117,0.4830
227,0.8123,0.4096
228,0.8120,0.4795
229,0.8140,0.3647
230,0.8141,0.3661
231,0.8141,0.4742
232,0.8148,0.4268
233,0.8153,0.3646
234,0.8157,0.2609
235,0.8163,0.4247
236,0.8167,0.3817
237,0.8172,0.4021
238,0.8178,0.3690
239,0.8179,0.2409
240,0.8187,0.3452
241,0.8190,0.3811
242,0.8196,0.4813
243,0.8205,0.4045
244,0.8201,0.4850
245,0.8211,0.4153
246,0.8209,0.3173
247,0.8214,0.4051
248,0.8231,0.3636
249,0.8225,0.3967
250,0.8231,0.5038
251,0.8235,0.4843
252,0.8240,0.3674
253,0.8250,0.2172
254,0.8247,0.2443
255,0.8254,0.3194
256,0.8260,0.3385
257,0.8260,0.2202
258,0.8265,0.4105
259,0.8273,0.4286
260,0.8276,0.3978
261,0.8279,0.4648
262,0.8288,0.4450
263,0.8290,0.2614
264,0.8296,0.4896
265,0.8295,0.3599
266,0.8301,0.4442
267,0.8312,0.4016
268,0.8315,0.2726
269,0.8310,0.4925
270,0.8326,0.4460
271,0.8324,0.4713
272,0.8327,0.3834
273,0.8335,0.1999
274,0.8337,0.3392
275,0.8339,0.4899
276,0.8343,0.3906
277,0.8346,0.3647
278,0.8352,0.4409
279,0.8358,0.4473
280,0.8362,0.4454
281,0.8358,0.3123
282,0.8372,0.4550
283,0.8376,0.2880
284,0.8373,0.4589
285,0.8377,0.4878
286,0.8381,0.4831
287,0.8387,0.2758
288,0.8396,0.2302
289,0.8398,0.2887
290,0.8402,0.4674
291,0.8399,0.5040
292,0.8408,0.2784
293,0.8412,0.5110
294,0.8420,0.4388
295,0.8419,0.3148
296,0.8423,0.3798
297,0.8431,0.4767
298,0.8434,0.3946
299,0.8435,0.2840
300,0.8438,0.4680
301,0.8440,0.3240
302,0.8446,0.4858
303,0.8452,0.3594
304,0.8456,0.2836
305,0.8458,0.3432
306,0.8463,0.2727
307,0.8469,0.3986
308,0.8468,0.4103
309,0.8468,0.4721
310,0.8479,0.3987
311,0.8481,0.3469
312,0.8485,0.5084
313,0.8491,0.2398
314,0.8491,0.4746
315,0.8496,0.4641
316,0.8502,0.4623
317,0.8500,0.5214
318,0.8511,0.3294
319,0.8517,0.4276
320,0.8511,0.4776
321,0.8521,0.4299
322,0.8521,0.3326
323,0.8528,0.3932
324,0.8523,0.4249
325,0.8535,0.4511
326,0.8534,0.5167
327,0.8540,0.5000
328,0.8546,0.4454
329,0.8544,0.5082
330,0.8547,0.3614
331,0.8553,0.3144
332,0.8561,0.2571
333,0.8561,0.4292
334,0.8567,0.4286
335,0.8569,0.4625
336,0.8571,0.4213
337,0.8576,0.4770
338,0.8583,0.4072
339,0.8582,0.4877
340,0.8581,0.3597
341,0.8592,0.3795
342,0.8595,0.4034
343,0.8596,0.3274
344,0.8601,0.4407
345,0.8601,0.2554
346,0.8609,0.4702
347,0.8614,0.4962
348,0.8615,0.5077
349,0.8612,0.4575
350,0.8622,0.4917
351,0.8627,0.4137
352,0.8629,0.4055
353,0.8633,0.4974
354,0.8634,0.2536
355,0.8645,0.4497
356,0.8643,0.3809
357,0.8647,0.4435
358,0.8649,0.2407
359,0.8655,0.4003
360,0.8661,0.4414
361,0.8660,0.3996
362,0.8667,0.3213
363,0.8665,0.3721
364,0.8673,0.4091
365,0.8676,0.4778
366,0.8672,0.3670
367,0.8680,0.2764
368,0.8685,0.2798
369,0.8693,0.3128
370,0.8693,0.5104
371,0.8691,0.3981
372,0.8701,0.4407
373,0.8701,0.3828
374,0.8707,0.2887
375,0.8710,0.4890
376,0.8712,0.3140
377,0.8713,0.4887
378,0.8721,0.3707
379,0.8727,0.3859
380,0.8723,0.4242
381,0.8731,0.3396
382,0.8733,0.4980
383,0.8737,0.3169
384,0.8745,0.4661
385,0.8748,0.3683
386,0.8748,0.4662
387,0.8752,0.3781
388,0.8757,0.3090
389,0.8760,0.3936
390,0.8756,0.2864
391,0.8763,0.3548
392,0.8768,0.4314
393,0.8772,0.4392
394,0.8774,0.3277
395,0.8776,0.2796
396,0.8781,0.4082
397,0.8788,0.3444
398,0.8786,0.4770
399,0.8790,0.4391
400,0.8798,0.4490
401,0.8796,0.5157
402,0.8805,0.3717
403,0.8810,0.2797
404,0.8806,0.3960
405,0.8815,0.2626
406,0.8820,0.2979
407,0.8816,0.4078
408,0.8818,0.4191
409,0.8824,0.4695
410,0.8830,0.3913
411,0.8829,0.4668
412,0.8831,0.4515
413,0.8837,0.3602
414,0.8843,0.4006
415,0.8843,0.4467
416,0.8846,0.4428
417,0.8852,0.3120
418,0.8854,0.4233
419,0.8857,0.3273
420,0.8857,0.3865
421,0.8865,0.4181
422,0.8868,0.3440
423,0.8872,0.3726
424,0.8872,0.3930
425,0.8882,0.3594
426,0.8880,0.3812
427,0.8887,0.4598
428,0.8887,0.4573
429,0.8885,0.3677
430,0.8892,0.4970
431,0.8896,0.4170
432,0.8895,0.4499
433,0.8901,0.4378
434,0.8906,0.3708
435,0.8905,0.3315
436,0.8911,0.2671
437,0.8919,0.2483
438,0.8921,0.2743
439,0.8921,0.3816
440,0.8923,0.4766
441,0.8923,0.4218
442,0.8936,0.4863
443,0.8935,0.4248
444,0.8933,0.4711
445,0.8938,0.4016
446,0.8940,0.4317
447,0.8948,0.3716
448,0.8946,0.2362
449,0.8949,0.3956
450,0.8954,0.4217
451,0.8958,0.4380
452,0.8961,0.3467
453,0.8966,0.4271
454,0.8967,0.3282
455,0.8968,0.4143
456,0.8974,0.5135
457,0.8975,0.4064
458,0.8976,0.3617
459,0.8977,0.5107
460,0.8986,0.3160
461,0.8988,0.2801
462,0.8987,0.2428
463,0.8989,0.4309
464,0.8989,0.4302
465,0.8996,0.2346
466,0.9001,0.4776
467,0.9004,0.4055
468,0.9010,0.4586
469,0.9014,0.3089
470,0.9013,0.3048
471,0.9014,0.4757
472,0.9023,0.3121
473,0.9017,0.4402
474,0.9022,0.3659
475,0.9024,0.4452
476,0.9027,0.4611
477,0.9031,0.3881
478,0.9034,0.4082
479,0.9039,0.4366
480,0.9041,0.4442
481,0.9047,0.4917
482,0.9049,0.4245
483,0.9047,0.3822
484,0.9048,0.2457
485,0.9055,0.3926
486,0.9053,0.4388
487,0.9058,0.4074
488,0.9065,0.3241
489,0.9062,0.4216
490,0.9068,0.4816
491,0.9067,0.4416
492,0.9068,0.3643
493,0.9075,0.3094
494,0.9081,0.4884
495,0.9081,0.4754
496,0.9079,0.3018
497,0.9086,0.4055
498,0.9087,0.3362
499,0.9089,0.3865
500,0.9094,0.3109
501,0.9092,0.3598
502,0.9097,0.2574
503,0.9097,0.4890
504,0.9104,0.4211
505,0.9104,0.4435
506,0.9105,0.3472
507,0.9105,0.3614
508,0.9112,0.3147
509,0.9114,0.3690
510,0.9119,0.3842
511,0.9120,0.4269
512,0.9117,0.4213
513,0.9121,0.4198
514,0.9124,0.4397
515,0.9131,0.4940
516,0.9127,0.4838
517,0.9131,0.3674
518,0.9133,0.3932
519,0.9135,0.4032
520,0.9138,0.4046
521,0.9141,0.3389
522,0.9143,0.3506
523,0.9145,0.4361
524,0.9149,0.2248
525,0.9150,0.4839
526,0.9153,0.4539
527,0.9149,0.4358
528,0.9155,0.4017
529,0.9162,0.4286
530,0.9165,0.4470
531,0.9167,0.3465
532,0.9163,0.4425
533,0.9167,0.4840
534,0.9166,0.4746
535,0.9175,0.5172
536,0.9175,0.3160
537,0.9179,0.4586
538,0.9178,0.4826
539,0.9182,0.4845
540,0.9184,0.3919
541,0.9183,0.4577
542,0.9188,0.4642
543,0.9188,0.3200
544,0.9197,0.3986
545,0.9196,0.4706
546,0.9200,0.3229
547,0.9198,0.2919
548,0.9198,0.4555
549,0.9199,0.3473
550,0.9201,0.3087
551,0.9211,0.2504
552,0.9211,0.4822
553,0.9208,0.4502
554,0.9209,0.4724
555,0.9215,0.3883
556,0.9218,0.4339
557,0.9215,0.3032
558,0.9221,0.3403
559,0.9216,0.2022
560,0.9221,0.4687
561,0.9225,0.4620
562,0.9231,0.4310
563,0.9231,0.4087
564,0.9231,0.5117
565,0.9235,0.3261
566,0.9235,0.4569
567,0.9238,0.4198
568,0.9239,0.5002
569,0.9247,0.2925
570,0.9240,0.4501
571,0.9243,0.4797
572,0.9246,0.3877
573,0.9245,0.3682
574,0.9251,0.4642
575,0.9252,0.4716
576,0.9258,0.3776
577,0.9256,0.4622
578,0.9262,0.3930
579,0.9257,0.4792
580,0.9255,0.4581
581,0.9271,0.4932
582,0.9267,0.3913
583,0.9266,0.4271
584,0.9267,0.3683
585,0.9271,0.3431
586,0.9272,0.4844
587,0.9275,0.3786
588,0.9278,0.5081
589,0.9280,0.3786
590,0.9275,0.4053
591,0.9284,0.4641
592,0.9285,0.3835
593,0.9283,0.3567
594,0.9288,0.4519
595,0.9288,0.4635
596,0.9289,0.3539
597,0.9288,0.4871
598,0.9292,0.4644
599,0.9293,0.2975
600,0.9296,0.4877
601,0.9299,0.4548
602,0.9302,0.4238
603,0.9304,0.4024
604,0.9304,0.3487
605,0.9310,0.3417
606,0.9309,0.4511
607,0.9303,0.2601
608,0.9314,0.4590
609,0.9311,0.4099
610,0.9312,0.3192
611,0.9316,0.4218
612,0.9314,0.3213
613,0.9319,0.3687
614,0.9318,0.3900
615,0.9324,0.4426
616,0.9327,0.3216
617,0.9328,0.4438
618,0.9325,0.2496
619,0.9329,0.3943
620,0.9328,0.2853
621,0.9332,0.4120
622,0.9335,0.5010
623,0.9335,0.2764
624,0.9333,0.4212
625,0.9339,0.3133
626,0.9339,0.2629
627,0.9340,0.4353
628,0.9343,0.3500
629,0.9343,0.2300
630,0.9348,0.3361
631,0.9344,0.3429
632,0.9345,0.4334
633,0.9350,0.3647
634,0.9354,0.4086
635,0.9355,0.4328
636,0.9350,0.4591
637,0.9358,0.3589
638,0.9352,0.4769
639,0.9357,0.3933
640,0.9357,0.4578
641,0.9362,0.3543
642,0.9365,0.3734
643,0.9364,0.4040
644,0.9365,0.4376
645,0.9367,0.4017
646,0.9368,0.4176
647,0.9369,0.3046
648,0.9373,0.4593
649,0.9370,0.4014
650,0.9372,0.4402
651,0.9373,0.3957
652,0.9377,0.4245
653,0.9374,0.1960
654,0.9371,0.3946
655,0.9381,0.2906
656,0.9387,0.2438
657,0.9387,0.2587
658,0.9384,0.4896
659,0.9384,0.4119
660,0.9386,0.4954
661,0.9388,0.4405
662,0.9389,0.3797
663,0.9391,0.4424
664,0.9385,0.2767
665,0.9392,0.4288
666,0.9398,0.4873
667,0.9396,0.4405
668,0.9396,0.2995
669,0.9400,0.4964
670,0.9400,0.2286
671,0.9404,0.2189
672,0.9400,0.3484
673,0.9402,0.3205
674,0.9403,0.4389
675,0.9404,0.3603
676,0.9409,0.4734
677,0.9411,0.4411
678,0.9407,0.2800
679,0.9409,0.4749
680,0.9408,0.4370
681,0.9412,0.4295
682,0.9415,0.2255
683,0.9416,0.3527
684,0.9416,0.4764
685,0.9421,0.4114
686,0.9418,0.3913
687,0.9420,0.3829
688,0.9425,0.4162
689,0.9427,0.3314
690,0.9424,0.3269
691,0.9423,0.3603
692,0.9428,0.3077
693,0.9426,0.3823
694,0.9427,0.4522
695,0.9430,0.4750
696,0.9433,0.2896
697,0.9433,0.3540
698,0.9434,0.4532
699,0.9436,0.4745
700,0.9436,0.4146
701,0.9436,0.3486
702,0.9438,0.4313
703,0.9441,0.2608
704,0.9442,0.3510
705,0.9440,0.3728
706,0.9446,0.3382
707,0.9443,0.4456
708,0.9443,0.4830
709,0.9445,0.4003
710,0.9448,0.4099
711,0.9451,0.2507
712,0.9451,0.3181
713,0.9453,0.3701
714,0.9455,0.4880
715,0.9456,0.2093
716,0.9450,0.3893
717,0.9454,0.3863
718,0.9459,0.4244
719,0.9461,0.3439
720,0.9462,0.3937
721,0.9459,0.4004
722,0.9461,0.2968
723,0.9462,0.2830
724,0.9462,0.4306
725,0.9462,0.3103
726,0.9465,0.4497
727,0.9469,0.3677
728,0.9467,0.4352
729,0.9468,0.3849
730,0.9466,0.3091
731,0.9469,0.2798
732,0.9475,0.3679
733,0.9474,0.3633
734,0.9479,0.4173
735,0.9472,0.3853
736,0.9474,0.4701
737,0.9476,0.3702
738,0.9479,0.2359
739,0.9480,0.3925
740,0.9478,0.4475
741,0.9479,0.4137
742,0.9478,0.4435
743,0.9482,0.4642
744,0.9484,0.3358
745,0.9487,0.3887
746,0.9482,0.3601
747,0.9489,0.3931
748,0.9488,0.4660
749,0.9488,0.2815
750,0.9490,0.4564
751,0.9492,0.3569
752,0.9491,0.4457
753,0.9497,0.2378
754,0.9490,0.4362
755,0.9495,0.1849
756,0.9494,0.4439
757,0.9496,0.4413
758,0.9504,0.4030
759,0.9500,0.4545
760,0.9495,0.4370
761,0.9502,0.4828
762,0.9496,0.3995
763,0.9505,0.3588
764,0.9500,0.3623
