Epoch,Loss,IOU_Train,IOU_Val,Time
0,0.355124,0.5349,0.5424,55.36
1,0.313083,0.5628,0.5175,41.48
2,0.290808,0.5762,0.4636,41.56
3,0.274862,0.5865,0.5098,41.66
4,0.264288,0.5918,0.4341,41.62
5,0.256958,0.5972,0.4956,41.64
6,0.248232,0.6028,0.5042,41.66
7,0.241141,0.6076,0.4578,41.68
8,0.236136,0.6103,0.5423,41.71
9,0.230525,0.6154,0.4421,41.70
10,0.225420,0.6190,0.3438,41.72
11,0.222696,0.6210,0.5110,41.70
12,0.217192,0.6247,0.4577,41.72
13,0.212852,0.6288,0.5215,41.69
14,0.209465,0.6307,0.3683,41.71
15,0.204949,0.6351,0.4516,41.71
16,0.202338,0.6373,0.5399,41.71
17,0.199930,0.6390,0.4854,41.69
18,0.195396,0.6427,0.5447,41.74
19,0.192625,0.6451,0.5479,41.75
20,0.189542,0.6474,0.5270,41.70
21,0.187971,0.6496,0.4614,41.85
22,0.184863,0.6523,0.5279,41.74
23,0.182010,0.6547,0.4705,41.73
24,0.178969,0.6571,0.5207,41.76
25,0.175638,0.6605,0.5459,41.80
26,0.175396,0.6610,0.5150,41.74
27,0.172427,0.6638,0.5264,41.74
28,0.170756,0.6657,0.5245,41.71
29,0.168452,0.6676,0.4587,41.75
30,0.166113,0.6705,0.5528,41.76
31,0.164189,0.6727,0.4946,41.76
32,0.163365,0.6736,0.5336,41.75
33,0.161724,0.6750,0.5192,41.87
34,0.159981,0.6768,0.3729,41.84
35,0.158165,0.6790,0.2442,41.79
36,0.156557,0.6806,0.5315,41.77
37,0.155723,0.6811,0.5415,41.75
38,0.154202,0.6830,0.4333,41.78
39,0.153360,0.6849,0.5200,41.76
40,0.151179,0.6858,0.4904,41.74
41,0.150458,0.6878,0.4841,41.83
42,0.149860,0.6889,0.4259,41.74
43,0.147423,0.6911,0.4074,41.78
44,0.146905,0.6913,0.5200,41.74
45,0.145393,0.6931,0.5118,41.75
46,0.145227,0.6940,0.4651,41.74
47,0.143163,0.6959,0.3030,41.75
48,0.142588,0.6970,0.5360,41.74
49,0.142100,0.6980,0.5292,41.75
